hisab-demo-csv,v1
period,2026-07-01,2026-09-30
2026-07-03,42000,debit,Swiggy,UPI726001,SWIGGY ORDER 8811
2026-07-08,129900,debit,Amazon,UPI726002,AMAZON PAY SHOPPING
2026-07-14,18500,debit,Blinkit,UPI726003,BLINKIT GROCERIES
2026-07-21,64900,debit,IRCTC,UPI726004,IRCTC TICKET BOOKING
2026-07-28,19900,debit,Netflix,UPI726005,NETFLIX SUBSCRIPTION
2026-08-02,55400,debit,Zomato,UPI801001,ZOMATO ORDER 1231
2026-08-05,23000,debit,Blinkit,UPI801002,BLINKIT GROCERIES
2026-08-09,240000,debit,Flipkart,UPI801003,FLIPKART ELECTRONICS
2026-08-16,32000,debit,Uber,UPI801004,UBER TRIP
2026-08-23,19900,debit,Netflix,UPI801005,NETFLIX SUBSCRIPTION
2026-08-27,45600,debit,BigBasket,UPI801006,BIGBASKET MONTHLY
2026-09-01,38700,debit,Swiggy,UPI901001,SWIGGY ORDER 9902
2026-09-04,27500,debit,Zepto,UPI901002,ZEPTO GROCERIES
2026-09-07,89900,debit,Myntra,UPI901003,MYNTRA CLOTHING
2026-09-12,41000,debit,Rapido,UPI901004,RAPIDO RIDES WEEKLY
2026-09-18,19900,debit,Netflix,UPI901005,NETFLIX SUBSCRIPTION
2026-09-22,52300,debit,Swiggy,UPI901006,SWIGGY ORDER 9977
2026-09-25,15800,debit,Apollo Pharmacy,UPI901007,APOLLO PHARMACY
